ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Bottle Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
2523,"5208900750","852089007506","RIGHTEOUS FELON JERKY STICK STREET TACO 1GR",,"1","1.39","1.390","2.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","26.00",26,"53.51",24,3,"B",0,"general",0,"38259",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2524,"5208900748","852089007483","RIGHTHEOUS FELON JERKY STICK FIERY HABANERO 1GR",,"1","1.39","1.390","2.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","23.00",23,"53.51",1,1,"C",0,"general",0,"78882",24,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2525,"5002212119","850022121197","REALSY PEANUT BUTTER DATES SINGLE 0.6OZ",,"1","0.98","0.980","1.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","0.00",0,"50.75",3,3,"C",0,"general",0,"35571",40,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2526,"5002212103","850022121036","REALSY CHOCOLATE PEANUT BUTTER DATES 2.10OZ",,"1","2.80","0.000","3.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","4.00",4,"29.82",0,0,"D",0,"general",0,"33495",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2528,"6001273223","860012732234","VAQUERO BANDIDO HABANERO CARNE SECA 2OZ",,"1","5.75","5.750","8.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","1.00",1,"36.04",0,0,"D",0,"general",0,"64358",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2529,"6001273222","860012732227","VAQUERO BANDIDO ORIGINAL CARNE SECA 2OZ",,"1","5.75","5.750","8.99",,,,,"Tax","SNACKS","NOTAX","REP RALLY","1.00",1,"36.04",0,0,"D",0,"general",0,"61990",12,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2530,"4203711095","042037110956","GOODY'S POWDERS 2PK","SINGLE","1","0.69","0.690","2.99",,,,,"Tax","MEDICINE ITEMS","NOTAX","CWA","23.00",23,"76.92",0,0,"D",0,"general",0,"50271",36,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2531,"9999940994","0000","PIKACHU SILICONE HAND PIPE",,"1","0.00","0.000","25.00",,,,,"Tax","HAND PIPES",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"50632",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2532,"9999928158","0000","SUCKER HEMPER",,"1","0.00","0.000","35.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"30115",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2533,"9999998263","0000","LOLLIPOP HAND",,"1","0.00","0.000","15.00",,,,,"Tax","HAND PIPES",,"HS Supply","2.00",2,"100.00",0,0,"D",0,"general",0,"39024",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2534,"9999929399","0000","LOVE SILLICONE",,"1","0.00","0.000","15.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"17581",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2535,"9999945453","0000","LIGHTER HANDPIPE",,"1","0.00","0.000","35.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"23973",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2536,"9999963214","0000","ICE POP HANDPIPE",,"1","0.00","0.000","25.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"11284",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2537,"9999984353","0000","BLASTED ELECTRO",,"1","0.00","0.000","25.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"62995",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2538,"9999948832","0000","BABY BOTTLE HANDPIPE",,"1","0.00","0.000","20.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"38750",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2539,"9999970751","0000","MOON HAND PIPE",,"1","0.00","0.000","25.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"72753",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2540,"9999915240","0000","PUMPKIN HAND PIPE",,"1","0.00","0.000","20.00",,,,,"Tax","HAND PIPES",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"40890",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2541,"9999987930","0000","CACTUS HAND PIPE",,"1","0.00","0.000","35.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"60232",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2542,"01638","0000","CHEECH GLASS HAMMER HAND PIPE",,"1","0.00","0.000","40.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"36126",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2543,"01873","0000","CHEECH METAL HAND PIPE",,"1","16.00","0.000","35.99",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"55.54",0,0,"D",0,"general",0,"13476",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2544,"9999999315","0000","RAMEN HAND PIPE",,"1","0.00","0.000","35.00",,,,,"Tax","HAND PIPES",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"07415",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2545,"5006850807","850068508075","DROPS HEMP JELLIES LEMON",,"1","0.00","0.000","15.99",,,,,"Tax","THCA PRODUCTS",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"20552",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2546,"5006850804","850068508044","DROPS HEMP JELLIES LIME",,"1","0.00","0.000","15.99",,,,,"Tax","THCA PRODUCTS",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"38182",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2547,"9999973509","0000","DAB TOOL",,"1","0.00","0.000","3.00",,,,,"Tax","SMOKE DEVICES",,"HS Supply","2.00",2,"100.00",0,0,"D",0,"general",0,"21344",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2548,"9999975596","0000","TROPICAL MUSHROOMS",,"1","0.00","0.000","25.00",,,,,"Tax","THCA PRODUCTS",,"HS Supply","1.00",1,"100.00",0,0,"D",0,"general",0,"61803",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2549,"1246192812","612461928122","PURE7 KRATOM SHOT STRAWBERRY LEMONADE",,"1","0.00","0.000","19.99",,,,,"Tax","KRATOM",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"42626",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2550,"1246180066","612461800664","PURE7 KRATOM SHOT CHERRY LIME",,"1","0.00","0.000","19.99",,,,,"Tax","KRATOM",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"01000",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2551,"1246188316","612461883162","PURE7 KRATOM PILLS WATERMELON FLAVOR",,"1","0.00","0.000","35.00",,,,,"Tax","KRATOM",,"HS Supply","0.00",0,"100.00",0,0,"D",0,"general",0,"41297",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2552,"6094410062","7460944100625","PIRUCREAM BITES CHOCOLATE HAZELNUT 7OZ",,"1","3.89","3.890","6.99",,,,,"Tax","SNACKS","NOTAX","PRINY","0.00",0,"44.35",10,4,"D",0,"general",0,"11108",10,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2553,"6094410065","7460944100656","PIRUCREAM BITES DOUBLE CHOCOLATE 7OZ",,"1","3.42","3.690","6.50",,,,,"Tax","SNACKS","NOTAX","PRINY","7.00",7,"47.38",0,0,"D",0,"general",0,"69823",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2554,"0050022784","8000500227848","NUTELLA B-READY BOX",,"1","0.00","0.000","6.75",,,,,"Tax","SNACKS","NOTAX","UNKNOWN","0.00",0,"100.00",1,1,"D",0,"general",0,"95490",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2555,"0900000851","50985104","HALLS HONEY&LEMON",,"1","0.00","0.000","2.00",,,,,"Tax","SNACKS","NOTAX","UNKNOWN","16.00",16,"100.00",0,0,"D",0,"general",0,"50519",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2556,"7010000317","57031712","HALLS COLA FLAVOUR",,"1","0.00","0.000","2.00",,,,,"Tax","SNACKS","NOTAX","UNKNOWN","20.00",20,"100.00",0,0,"D",0,"general",0,"11315",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2557,"9999925943","0000","TYLENOL PM",,"1","0.00","0.000","1.99",,,,,"Tax","MEDICINE ITEMS","NOTAX","UNKNOWN","11.00",11,"100.00",5,5,"B",0,"general",0,"72318",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2558,"9999932713","0000","PANDA MINI JARS",,"1","0.30","0.300","3.00",,,,,"Tax","GRINDERS",,"UNKNOWN","2.00",2,"90.00",0,0,"D",0,"general",0,"79874",4,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2559,"4850020572, 4850020567","048500205723, 048500205723","TROPICANA ORANGE JUICE 46OZ",,"1","3.90","3.900","6.99",,,,,"Tax","BEVERAGES ","NOTAX","COSTCO","3.00, 0.00",3,"44.21",6,5,"A",0,"general",0,"46491",3,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2560,"4150880012","041508800129","S PELLEGRINO SPARKLING WATER GLASS BOTTLE 25OZ",,"1","1.71","1.760","3.99",,,,,"Tax","BEVERAGES ","NOTAX","Jetro","14.00",14,"57.14",15,2,"B",0,"general",0,"32788",15,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2564,"7940051422","079400514226","DOVE CONDITIONER DAILY MOISTURE 18OZ",,"1","5.84","5.840","8.99",,,,,"Tax","PERSONAL CARE ITEMS","NOTAX","Walmart Business","2.00",2,"35.04",1,1,"B",0,"general",0,"54782",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2565,"7940051421","079400514219","DOVE SHAMPOO DAILY MOISTURE 18OZ",,"1","5.84","5.840","8.99",,,,,"Tax","PERSONAL CARE ITEMS","NOTAX","Walmart Business","2.00",2,"35.04",3,1,"B",0,"general",0,"89215",3,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2566,"1340935231","013409352311","SWEET BABY RAYS BBQ 28OZ",,"1","3.24","3.240","5.99",,,,,"Tax","PANTRY ITEMS","NOTAX","Walmart Business","0.00",0,"45.91",1,1,"D",0,"general",0,"14945",2,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2567,"2590022545, 2590025466","025900254667, 025900254667","SWISHER SWEETS COOKIES N CREAM",,"1","0.88","0.880","1.50",,,,,"Tax","CIGARS / PUROS","CIGARS","Nepa 305","0.00, 28.00",28,"41.33",30,10,"B",0,"general",0,"44084",30,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2568,"0985117149","609851171497","DOZO 2.5G LIVE ROSIN INDICA PAPAYA HONEY DEW",,"1","14.00","14.000","40.00",,,,,"Tax","THCA PRODUCTS",,"Nepa 305","0.00",0,"65.00",2,2,"D",0,"general",0,"14033",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2569,"0985117155","609851171558","DOZO 2.5G LIVE ROSIN SATIVA TWISTED TWIZZLERS",,"1","14.00","14.000","40.00",,,,,"Tax","THCA PRODUCTS",,"Nepa 305","0.00",0,"65.00",2,2,"D",0,"general",0,"65346",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2571,"9999989486","0000","CASA MIA CANDLES",,"1","15.00","15.000","29.99",,,,,"Tax","HOUSEHOLD ITEMS",,"CASA MIA CANDLES","16.00",16,"49.98",0,0,"D",0,"general",0,"49486",16,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
2572,"6082102273","0000","CREMEMAX MINI WHIP WATERMELON WAVE",,"1","0.00","0.000","25.00",,,,,"Tax","MISCELLANEOUS SMOKE SHOP",,"Smoke Nation","3.00",3,"100.00",0,0,"D",0,"general",0,"61239",1,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
