ID,Stock Code,UPC Full,Name,Size,Default Qty,Unit Cost,Latest Cost,Unit Price,Modifiers Qty,Modifiers Cost,Modifiers Latest Cost,Modifiers Price,Tax Rule Name,Category Name,Category Group Name,Supplier Name,Qty On Hand,Total Qty On Hand,Margin,Reorder Value,Reorder Point,Item Rank,Auto Update,Type,Vendor Item No,SKU,Unit Per Case,Item Tags,Vendor Name,Notes,Remind Date,Close Out item,Prompt For Qty,Item Type,Additional Fee,Unit Deposit,Do Not Track Inventory,Add To Shortcut Keys,Do Not Show To Webstore,Hide Inventory,Item Shortcut Name,Item Sort No,Do Not Apply Manual Discount,Exclude from Promotions
329,"7161020361","071610203617","DUTCH 2PK BLEND SILVER","2PK","1","0.00","0.000","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"UNKNOWN","43.00",43,"100.00",0,0,"D",0,"general",0,"16858",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
330,"7161020363","071610203631","DUTCH 2PK SWEET FUSION","2PK","1","0.80","0.800","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","16.00",16,"46.67",15,8,"B",0,"general",0,"15024",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
331,"7161020364","071610203648","DUTCH 2PK BERRY FUSION","2PK","1","0.79","0.780","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","39.00",39,"47.33",30,24,"B",0,"general",0,"60565",15,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
332,"7161020365","071610203655","DUTCH 2PK BLUE DREAM FUSION","2PK","1","0.30","0.780","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","66.00",66,"80.00",3,3,"C",0,"general",0,"47999",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
333,"7161020366","071610203662","DUTCH 2PK HONEY FUSION","2PK","1","0.77","0.780","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","15.00",15,"48.67",15,5,"B",0,"general",0,"48149",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
334,"7161020369","071610203693","DUTCH 2PK OG FUSION","2PK","1","3.22","3.220","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","21.00",21,"-114.67",3,3,"B",0,"general",0,"65222",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
335,"7161020367","071610203679","DUTCH 2PK IRISH FUSION","2PK","1","0.78","0.780","1.50",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","27.00",27,"48.00",0,0,"D",0,"general",0,"08234",15,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
336,"7161020422","071610204225","BACKWOODS 5PK CHOCOLATE","5PK","1","3.82","3.820","8.00",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","7.00",7,"52.25",0,0,"D",0,"general",0,"71779",8,,,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
337,"7161030183","071610301832","BACKWOODS 5PK HONEY","5PK","1","3.38","4.220","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"HIGHEST GOODS","10.00",10,"51.71",0,0,"D",0,"general",0,"79915",8,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
338,"7161030186","071610301863","BACKWOODS 5PK HONEY BERRY","5PK","1","3.31","3.720","7.00",,,,,"Tax","TOBACCO PRODUCTS",,"Nepa 305","2.00",2,"52.71",8,2,"B",0,"general",0,"46483",8,"sunday",,,,0,0,"Inventory Item",,,0,0,0,0,,,0,0
